"","var","importance","mean","sd","min","q25","med","q75","max"
"1","sst",51.26,0.315176696817832,0.0420636601068885,0.259060785831196,0.290422731059558,0.316555915370964,0.346136608848178,0.363707442979264
"2","dfs",20.74,0.722933199350417,0.0213766465657055,0.696830450902933,0.708012905489636,0.721074300647857,0.743670788251956,0.745077551459703
"3","depth",19.98,0.733067361908076,0.0266454340771205,0.704641763595774,0.705393980625717,0.740019213467326,0.755400655801989,0.759881196049574
"4","tbtm",2.52,0.966280909515726,0.0036035300141837,0.961931079423399,0.96343404475853,0.966421383330035,0.969784597367667,0.969833442699
"5","u",2.16,0.971181266160138,0.00487886902734486,0.965133531264088,0.96683494385178,0.973722483592157,0.973999420581586,0.976215951511079
"6","xbtm",1.12,0.985076758657408,0.00200100792368448,0.98231527226552,0.983788924245286,0.985623178319424,0.986442156366328,0.987214262090481
"7","v",1.06,0.98578976437057,0.000570636558250172,0.985109955543045,0.985627248586853,0.985666865327412,0.985864319597411,0.986680432798129
"8","log_depth",0.79,0.989475271504648,0.000490064859168134,0.98891663641078,0.989092024176811,0.989423543672045,0.9899201336584,0.990024019605204
"9","fish_biomass",0.37,0.995050197512909,0.000469878657363138,0.994359963963008,0.994932101566428,0.995076037963319,0.995234122810801,0.995648761260989
"10","mld",0,1,0,1,1,1,1,1
"11","sss",0,1,0,1,1,1,1,1
"12","sbtm",0,1,0,1,1,1,1,1
