"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",1.11,0.987802615675876,0.00224149930644056,0.985596010791645,0.986508555561534,0.987060613540976,0.988509223032787,0.991338675452437
"2","brick_sst",0.41,0.995471409735117,0.000744376157054982,0.994591833723932,0.995036657589759,0.995403542156996,0.995779179066595,0.996545836138303
"3","brick_tbtm",5.69,0.937267572645387,0.0153509855533757,0.918150788536033,0.927054060174555,0.939123105267572,0.944223751575577,0.957786157673198
"4","brick_sss",46.79,0.484429307908007,0.0263203218379485,0.45123992373565,0.466453003995129,0.486611601973686,0.500497650767639,0.517344359067932
"5","brick_sbtm",6.77,0.925425707713269,0.00749914087510386,0.915909963937448,0.920320823975038,0.925524323727797,0.931485650651147,0.933887776274917
"6","brick_mld",0.98,0.989163917858075,0.00109376575879525,0.987464655216866,0.988995046838695,0.989165820264263,0.98984417974409,0.990349887226459
"7","dfs",34.32,0.621823477435392,0.0410614828639397,0.598212874479097,0.601895311296763,0.604354678570263,0.609762789644097,0.69489173318674
"8","brick_u",3.22,0.964573598781595,0.00379233986616351,0.961173051895549,0.962129819927916,0.962154697475749,0.968700297972505,0.968710126636258
"9","brick_v",0.69,0.992343421099392,0.000497985539375094,0.99192838471358,0.991999904990619,0.992054604575024,0.992680298280993,0.993053912936742
"10","brick_xbtm",0.02,0.999800489440497,1.52411382509243e-05,0.9997832133097,0.999785604504563,0.999806159818747,0.999810121497453,0.999817348072024
