"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",19.73,0.70480454643599,0.00708251264354848,0.693103306539703,0.704454504503017,0.706080333791372,0.708791736111752,0.711592851234108
"2","brick_sst",3.81,0.942987111143032,0.00215376206483423,0.940744261841353,0.941534509034769,0.942209230046867,0.944589787097331,0.945857767694841
"3","brick_tbtm",0.85,0.987342931162866,0.000437947536446461,0.986855543736135,0.986885462420761,0.987581478520842,0.98761233858378,0.987779832552814
"4","brick_sss",4.87,0.927062985519701,0.00211836375887195,0.923689214699924,0.926874681580512,0.927472246860106,0.927804388914369,0.929474395543596
"5","brick_sbtm",16.9,0.747139275664236,0.0031921931826877,0.741959996595359,0.746604660866333,0.74835036715926,0.748379418377198,0.750401935323029
"6","brick_mld",6.01,0.910118329289383,0.00189275107548672,0.907897884455973,0.908595464563231,0.910150765442162,0.911662164100884,0.912285367884665
"7","dfs",47.26,0.292863601792254,0.0105688963801743,0.279646825375606,0.290551120645005,0.291351081134574,0.293661903459098,0.309107078346989
"8","brick_u",0.28,0.995779735322841,0.000464473155871591,0.995161486171298,0.995561602801063,0.99582867411455,0.995927795117854,0.996419118409439
"9","brick_v",0.14,0.99793306888208,0.000186002144559028,0.997663476143382,0.997847046833554,0.997996429400682,0.998003083207188,0.998155308825593
"10","brick_xbtm",0.15,0.997808341425989,0.000306483451057825,0.997328296964942,0.99768006673235,0.997959034371335,0.998010582891975,0.998063726169344
