"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",0.66,0.99338230148112,0.000127552847677375,0.993239808862812,0.993290899401937,0.99335877066715,0.99347404950183,0.993547978971869
"2","brick_sst",0,0.999977619083228,5.48070387124232e-07,0.999976936774381,0.999977336005368,0.999977626537769,0.999977784223268,0.999978411875355
"3","brick_tbtm",0.59,0.994110918218538,0.000165917834470069,0.993876636850524,0.9940873614441,0.994095202590017,0.994155474129255,0.994339916078792
"4","brick_sss",1.54,0.984589353136502,0.000864128141740637,0.98323520168504,0.984413052633084,0.984622670882399,0.985326823657194,0.985349016824793
"5","brick_sbtm",2.16,0.978391066954005,0.000302702549119719,0.977851530961651,0.978488748262413,0.978524071944254,0.978529835909993,0.978561147691712
"6","brick_mld",22.29,0.777008164345665,0.00424208788907098,0.771962823585373,0.774492362462634,0.777276448296888,0.778053474134454,0.783255713248976
"7","dfs",67.17,0.328151398471913,0.00529340642724775,0.321049015250797,0.324520028691127,0.329683526241447,0.331379705432175,0.334124716744018
"8","brick_u",0,0.999999749024929,1.88032956138458e-08,0.999999735788835,0.999999737748551,0.999999737964513,0.999999753453663,0.999999780169083
"9","brick_v",0.39,0.996137256782905,0.000186765535731861,0.995976847978536,0.996027624110382,0.996046693137075,0.996198070113092,0.996437048575439
"10","brick_xbtm",5.2,0.947972088369087,0.00144290825287306,0.945971646743091,0.947016232607511,0.948383630227409,0.949193217153699,0.949295715113725
