"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",1.69,0.980963047639808,0.000372091639156009,0.980682803108282,0.980733764520947,0.980861175243962,0.980933026042847,0.981604469283
"2","brick_sst",9.98,0.887885519485963,0.00191783209623678,0.885751966669772,0.886735566087745,0.888012420542952,0.888078236011466,0.89084940811788
"3","brick_tbtm",0.64,0.992795579723828,0.000140596488999865,0.992660709529741,0.992676963221561,0.992814434891323,0.992815612004291,0.993010178972223
"4","brick_sss",2.23,0.974925871761368,0.000580987591678934,0.974368202475985,0.974481217676541,0.974713997903405,0.975360566701503,0.975705374049408
"5","brick_sbtm",22.44,0.747840905971162,0.00347517405035736,0.742975915942598,0.746449753919592,0.747584545243189,0.750251036971006,0.751943277779427
"6","brick_mld",23.24,0.738823588094714,0.00429413913945029,0.734848997223226,0.736097433759568,0.737405564534307,0.740093596223865,0.745672348732604
"7","dfs",37.16,0.582392703136894,0.00395980586604005,0.576371748024173,0.581400928210645,0.58240875123066,0.585181221825159,0.586600866393832
"8","brick_u",0.46,0.9948822462868,0.000277656887304463,0.994540192929255,0.994745790439362,0.994792872900829,0.995124236599628,0.995208138564923
"9","brick_v",0,1,0,1,1,1,1,1
"10","brick_xbtm",2.18,0.975538098654737,0.00109256415000177,0.974134489560338,0.974922555463622,0.975574623334418,0.976050333333947,0.977008491581358
