"","var","importance","mean","sd","min","q25","med","q75","max"
"1","log_depth",0.02,0.999880463979279,3.93957619605434e-06,0.999877363392987,0.999877624189078,0.999879201627064,0.999881161052396,0.999886969634867
"2","brick_sst",14.02,0.913197692837717,0.0037583472823714,0.907804665400123,0.912205559927794,0.913069782708789,0.914840967401192,0.918067488750689
"3","brick_tbtm",0,0.999983758148503,1.42900544502993e-06,0.999982086139533,0.999982874467658,0.999983956074195,0.999983995483963,0.999985878577166
"4","brick_sss",2.68,0.983438546560214,0.000296078172279893,0.98309715085401,0.983189258337642,0.983514358245961,0.983566253415062,0.983825711948393
"5","brick_sbtm",0.03,0.999823524632745,2.94035991887882e-06,0.999819885582152,0.999821396439605,0.999823504501149,0.999826239842577,0.999826596798241
"6","brick_mld",0,0.999994141149036,3.48718968071523e-07,0.999993723570268,0.99999408711768,0.999994096284687,0.99999410464697,0.999994694125572
"7","dfs",83.25,0.484629530542262,0.00694000252514334,0.474784565689042,0.482632280726859,0.484972808276335,0.486807473740505,0.493950524278567
"8","brick_u",0,1,0,1,1,1,1,1
"9","brick_v",0,0.999999910777269,3.05936756779937e-09,0.999999906536787,0.999999908900975,0.999999911544113,0.999999912731881,0.999999914172589
"10","brick_xbtm",0,0.999998807828615,6.08488447678287e-08,0.99999871428998,0.999998782022834,0.999998826966279,0.999998855936212,0.999998859927771
